ShipmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-9246,1,2022-08-26 02:29:44,24.37,9.13,Fahrenheit,Mobile App
SP-5848,2,2022-07-09 13:02:49,-47.33,19.4,Celsius,Mobile App
SP-4773,3,2022-02-16 05:22:58,-37.13,27.24,Fahrenheit,Mobile App
SP-6914,4,2022-12-08 12:15:29,-48.89,23.73,Celsius,Weather Station
SP-5988,5,2022-10-26 01:36:58,42.09,82.7,Celsius,IoT Device
SP-7698,6,2022-07-11 19:05:54,-14.81,81.9,Celsius,IoT Device
SP-9280,7,2022-06-17 15:34:31,4.44,30.49,Celsius,IoT Device
SP-6867,8,2022-08-29 06:57:36,39.62,63.24,Fahrenheit,Mobile App
SP-2964,9,2022-11-08 08:03:31,-13.03,44.75,Fahrenheit,Weather Station
SP-4185,10,2022-06-27 04:22:39,-40.35,84.48,Fahrenheit,Weather Station
SP-0884,11,2022-04-24 15:33:13,-29.67,8.41,Celsius,Weather Station
SP-4885,12,2022-08-30 11:03:07,-45.71,68.26,Celsius,Mobile App
SP-5192,13,2022-11-29 16:53:05,-31.63,8.12,Celsius,Mobile App
SP-8215,14,2022-09-23 19:19:11,-33.93,55.0,Celsius,IoT Device
SP-2950,15,2022-12-22 08:39:46,-8.59,62.19,Fahrenheit,Mobile App
SP-6897,16,2022-01-11 20:51:23,0.63,70.92,Fahrenheit,Mobile App
SP-4540,17,2022-08-26 10:52:31,-34.31,68.44,Celsius,Weather Station
SP-2949,18,2022-12-01 13:42:57,-25.0,35.6,Celsius,Weather Station
SP-7311,19,2022-01-14 14:55:01,-40.13,40.52,Fahrenheit,IoT Device
SP-3258,20,2022-04-08 18:57:35,-36.0,10.19,Fahrenheit,Mobile App
SP-1755,21,2022-04-28 03:56:31,13.43,81.07,Celsius,Mobile App
SP-4001,22,2022-05-24 04:56:29,18.74,29.95,Celsius,IoT Device
SP-3735,23,2022-12-24 12:57:19,-9.51,54.45,Celsius,IoT Device
SP-7792,24,2022-09-07 02:24:45,-48.39,64.16,Celsius,IoT Device
SP-9821,25,2022-04-13 18:44:13,32.18,28.61,Celsius,IoT Device
SP-2941,26,2022-10-03 23:57:48,-9.32,66.1,Celsius,IoT Device
SP-8717,27,2022-07-19 06:37:57,-31.01,54.6,Fahrenheit,IoT Device
SP-5980,28,2022-08-03 18:16:53,45.41,86.51,Fahrenheit,IoT Device
SP-8401,29,2022-08-18 03:52:58,20.68,59.19,Celsius,IoT Device
SP-9992,30,2022-09-10 17:24:45,-47.89,41.69,Fahrenheit,Weather Station
SP-4312,31,2022-12-03 10:21:11,45.1,39.21,Celsius,Weather Station
SP-3300,32,2022-10-11 06:48:26,19.3,41.84,Fahrenheit,Weather Station
SP-7444,33,2022-11-08 13:57:25,17.62,5.4,Fahrenheit,Mobile App
SP-1074,34,2022-12-05 21:55:44,40.65,47.3,Fahrenheit,IoT Device
SP-1730,35,2022-05-10 06:17:55,-28.96,1.52,Celsius,Mobile App
SP-8463,36,2022-12-30 21:52:32,-16.14,56.02,Fahrenheit,IoT Device
SP-5024,37,2022-08-28 02:58:44,39.12,72.5,Celsius,Mobile App
SP-6183,38,2022-12-27 21:03:57,32.42,66.51,Celsius,Weather Station
SP-4655,39,2022-09-18 03:09:47,-29.45,0.67,Fahrenheit,Mobile App
SP-6867,40,2022-01-16 12:33:30,-21.48,11.42,Fahrenheit,Weather Station
SP-3255,41,2022-06-28 04:24:38,-18.35,95.85,Celsius,Mobile App
SP-6962,42,2022-04-10 02:38:07,18.61,71.77,Celsius,IoT Device
SP-0778,43,2022-04-08 06:05:56,-40.03,36.8,Celsius,Weather Station
SP-7492,44,2022-05-16 11:18:16,42.48,76.97,Celsius,Weather Station
SP-6148,45,2022-10-27 09:28:28,14.48,4.61,Celsius,Weather Station
SP-1047,46,2022-03-20 07:22:24,24.16,41.91,Fahrenheit,Mobile App
SP-4384,47,2022-05-31 20:50:07,8.62,68.8,Celsius,Weather Station
SP-9206,48,2022-04-26 11:52:58,46.35,84.1,Fahrenheit,IoT Device
SP-3506,49,2022-10-10 15:40:13,-25.11,95.62,Fahrenheit,Weather Station
SP-7904,50,2022-04-27 06:13:00,-2.31,13.67,Fahrenheit,Weather Station
SP-9727,51,2022-11-29 11:59:39,8.3,10.7,Celsius,Weather Station
SP-4533,52,2022-10-19 13:15:53,-27.19,28.46,Fahrenheit,Weather Station
SP-5264,53,2022-06-01 17:15:04,-21.98,45.25,Fahrenheit,IoT Device
SP-9100,54,2022-12-24 22:54:42,-22.87,15.25,Fahrenheit,IoT Device
SP-2380,55,2022-07-30 06:02:37,43.95,84.81,Fahrenheit,Mobile App
SP-1289,56,2022-02-17 06:02:49,-26.56,23.5,Fahrenheit,IoT Device
SP-9873,57,2022-11-01 05:41:26,-11.21,43.64,Celsius,Mobile App
SP-3250,58,2022-09-10 02:59:56,-27.5,43.97,Celsius,Weather Station
SP-6429,59,2022-06-17 03:22:42,-6.65,66.75,Celsius,IoT Device
SP-2298,60,2022-05-18 09:07:10,26.15,67.5,Celsius,Mobile App
SP-0581,61,2022-11-06 15:24:43,-34.57,45.97,Celsius,Mobile App
SP-1829,62,2022-09-22 03:21:23,49.4,33.12,Celsius,Weather Station
SP-4938,63,2022-12-22 17:11:26,-38.62,31.18,Fahrenheit,IoT Device
SP-6672,64,2022-01-02 16:28:54,9.63,72.32,Celsius,Weather Station
SP-5136,65,2022-02-28 22:17:17,-21.06,60.89,Celsius,Mobile App
SP-9709,66,2022-12-20 02:11:56,34.99,42.36,Fahrenheit,IoT Device
SP-5180,67,2022-02-14 09:47:42,1.49,77.25,Celsius,Mobile App
SP-9785,68,2022-01-05 09:24:29,13.33,22.97,Celsius,IoT Device
SP-0685,69,2022-03-21 02:35:55,0.48,52.06,Fahrenheit,Weather Station
SP-4379,70,2022-12-09 17:17:28,21.43,24.09,Fahrenheit,IoT Device
SP-2642,71,2022-01-21 20:58:00,18.29,56.09,Celsius,Weather Station
SP-4202,72,2022-12-18 22:27:13,26.13,95.9,Celsius,Weather Station
SP-7426,73,2022-09-26 22:24:40,7.67,64.68,Celsius,IoT Device
SP-6025,74,2022-11-19 14:37:41,-35.49,8.05,Celsius,Weather Station
SP-4953,75,2022-08-26 05:48:26,-25.92,14.09,Celsius,Weather Station
SP-7316,76,2022-07-10 06:30:42,24.74,9.86,Celsius,Weather Station
SP-1092,77,2022-02-19 01:21:48,-12.1,58.02,Fahrenheit,Mobile App
SP-4434,78,2022-06-06 14:12:49,-20.06,92.22,Celsius,IoT Device
SP-3737,79,2022-01-24 20:41:04,8.62,34.64,Fahrenheit,Weather Station
SP-1772,80,2022-08-08 13:18:28,-15.49,28.92,Celsius,IoT Device
SP-9507,81,2022-07-28 20:09:32,48.23,19.39,Celsius,Mobile App
SP-4510,82,2022-06-25 02:02:48,-32.7,42.63,Fahrenheit,Weather Station
SP-5960,83,2022-01-06 20:27:50,11.19,43.99,Fahrenheit,Weather Station
SP-3085,84,2022-05-26 02:43:57,-11.09,8.54,Fahrenheit,IoT Device
SP-8382,85,2022-04-15 06:38:31,15.01,62.88,Fahrenheit,IoT Device
SP-8595,86,2022-09-09 16:56:20,9.1,66.09,Celsius,Weather Station
SP-4475,87,2022-01-19 06:00:22,5.25,32.72,Celsius,Weather Station
SP-2212,88,2022-10-04 03:40:29,-4.99,69.11,Celsius,Weather Station
SP-7778,89,2022-07-25 05:17:47,17.03,50.72,Fahrenheit,IoT Device
SP-5227,90,2022-04-11 03:37:58,-49.3,83.51,Celsius,Mobile App
SP-5971,91,2022-01-07 13:46:17,30.25,68.09,Fahrenheit,Weather Station
SP-8645,92,2022-07-23 22:18:34,-2.53,6.01,Celsius,Weather Station
SP-7056,93,2022-04-20 13:52:20,-16.83,45.92,Fahrenheit,Weather Station
SP-8074,94,2022-12-10 13:07:35,-35.1,12.07,Fahrenheit,IoT Device
SP-6381,95,2022-12-08 06:22:40,1.02,10.08,Celsius,IoT Device
SP-5597,96,2022-09-17 04:01:24,-28.56,18.3,Fahrenheit,IoT Device
SP-4805,97,2022-03-25 05:35:14,37.01,23.39,Celsius,Mobile App
SP-9822,98,2022-05-17 18:02:21,34.24,34.5,Celsius,IoT Device
SP-4128,99,2022-04-01 17:28:07,21.38,9.74,Fahrenheit,IoT Device
SP-4135,100,2022-09-25 20:41:44,-41.07,66.49,Fahrenheit,Weather Station
SP-4929,101,2022-05-27 04:23:55,12.93,40.02,Fahrenheit,Mobile App
SP-4882,102,2022-08-22 17:42:29,14.85,18.92,Fahrenheit,Weather Station
SP-3113,103,2022-03-23 14:08:37,-44.63,52.39,Celsius,Mobile App
SP-3987,104,2022-01-13 10:28:23,48.44,48.98,Celsius,Weather Station
SP-2629,105,2022-08-02 17:06:08,-21.04,12.91,Fahrenheit,Weather Station
SP-0403,106,2022-04-26 13:08:13,43.05,0.96,Fahrenheit,Mobile App
SP-5166,107,2022-09-07 06:17:09,-6.83,77.63,Fahrenheit,Mobile App
SP-3594,108,2022-08-30 14:29:18,32.01,28.02,Fahrenheit,Mobile App
SP-8688,109,2022-06-05 13:37:11,28.63,29.08,Fahrenheit,Mobile App
SP-4976,110,2022-08-18 18:09:25,26.94,54.66,Fahrenheit,IoT Device
SP-8023,111,2022-06-20 05:38:16,7.42,71.36,Celsius,Mobile App
SP-0988,112,2022-03-23 20:07:52,-48.8,0.31,Fahrenheit,Mobile App
SP-9637,113,2022-10-07 00:48:55,9.68,56.24,Fahrenheit,IoT Device
SP-3938,114,2022-05-19 23:57:49,-25.05,18.33,Celsius,IoT Device
SP-3221,115,2022-07-19 21:52:08,40.73,72.29,Celsius,Weather Station
SP-1011,116,2022-08-16 18:30:09,37.42,60.52,Celsius,IoT Device
SP-5342,117,2022-01-10 11:08:45,-46.56,51.32,Fahrenheit,Mobile App
SP-8201,118,2022-09-22 06:16:32,-12.96,22.13,Celsius,Mobile App
SP-4295,119,2022-10-14 07:57:03,-35.11,60.42,Celsius,Weather Station
SP-0441,120,2022-01-04 00:50:56,-38.25,88.19,Fahrenheit,IoT Device
SP-3618,121,2022-11-08 04:06:35,-20.89,95.37,Fahrenheit,IoT Device
SP-8775,122,2022-11-29 16:48:32,-34.41,8.58,Fahrenheit,Mobile App
SP-1945,123,2022-10-11 08:19:00,-13.15,19.69,Celsius,IoT Device
SP-7548,124,2022-03-07 03:11:55,29.37,75.19,Celsius,IoT Device
SP-0088,125,2022-03-27 02:13:01,-1.55,51.92,Fahrenheit,IoT Device
SP-2306,126,2022-07-15 22:42:49,-9.48,98.54,Fahrenheit,Weather Station
SP-4724,127,2022-09-21 00:54:13,9.63,88.02,Celsius,Weather Station
SP-0340,128,2022-12-04 02:10:26,-32.23,66.15,Fahrenheit,Mobile App
SP-5204,129,2022-01-27 19:53:44,36.07,35.06,Celsius,IoT Device
SP-6260,130,2022-11-06 02:43:26,11.31,17.04,Celsius,Weather Station
SP-3291,131,2022-11-30 18:02:55,-44.9,53.34,Celsius,Weather Station
SP-5840,132,2022-03-31 01:24:10,-38.49,44.15,Fahrenheit,Mobile App
SP-9172,133,2022-06-02 15:02:45,9.55,68.35,Celsius,Weather Station
SP-7767,134,2022-10-12 19:02:00,21.69,69.77,Fahrenheit,Weather Station
SP-6709,135,2022-10-04 09:47:03,-20.78,17.29,Celsius,Weather Station
SP-3774,136,2022-02-24 22:09:13,33.4,49.69,Fahrenheit,IoT Device
SP-4297,137,2022-03-18 05:54:09,-24.49,49.42,Celsius,Mobile App
SP-4823,138,2022-09-05 18:43:27,-9.09,17.72,Celsius,Weather Station
SP-9708,139,2022-11-28 04:44:40,44.98,99.99,Celsius,Mobile App
SP-1082,140,2022-06-10 02:04:07,-49.01,71.38,Celsius,Mobile App
SP-8544,141,2022-06-15 16:41:02,10.07,36.03,Fahrenheit,Weather Station
SP-0744,142,2022-02-19 17:14:26,27.91,10.03,Celsius,Weather Station
SP-1389,143,2022-12-24 09:27:08,47.17,58.06,Celsius,Weather Station
SP-8369,144,2022-05-31 04:15:33,-35.59,72.88,Fahrenheit,Mobile App
SP-9441,145,2022-02-16 07:20:05,-32.59,62.96,Fahrenheit,IoT Device
SP-9070,146,2022-04-15 06:23:44,26.65,75.2,Celsius,Weather Station
SP-1947,147,2022-02-08 04:42:27,23.05,92.73,Celsius,Mobile App
SP-7121,148,2022-10-30 23:10:50,30.61,85.19,Celsius,IoT Device
SP-4373,149,2022-12-17 02:02:40,35.74,12.07,Fahrenheit,Weather Station
SP-3112,150,2022-04-30 08:26:10,10.77,1.1,Celsius,IoT Device
SP-6040,151,2022-12-21 11:36:15,19.35,47.07,Fahrenheit,IoT Device
SP-5995,152,2022-11-27 10:47:52,-1.56,47.23,Fahrenheit,IoT Device
SP-8073,153,2022-01-16 15:04:10,-43.02,31.3,Fahrenheit,IoT Device
SP-2943,154,2022-06-03 23:42:44,-2.45,65.15,Celsius,Weather Station
SP-1359,155,2022-03-02 11:45:37,7.62,78.54,Celsius,Mobile App
SP-4552,156,2022-12-17 08:49:56,43.25,79.11,Fahrenheit,IoT Device
SP-7092,157,2022-07-04 17:32:24,47.53,33.39,Fahrenheit,IoT Device
SP-6649,158,2022-12-23 04:23:40,-47.18,81.47,Celsius,IoT Device
SP-7565,159,2022-06-23 15:21:36,-4.5,71.71,Celsius,Weather Station
SP-5211,160,2022-12-11 17:13:58,-23.38,39.88,Fahrenheit,Mobile App
SP-0657,161,2022-11-10 23:40:35,-4.29,49.47,Celsius,Weather Station
SP-9660,162,2022-01-01 17:37:53,29.08,65.33,Fahrenheit,Weather Station
SP-7076,163,2022-07-02 08:32:47,14.89,60.41,Celsius,IoT Device
SP-0428,164,2022-09-13 06:14:17,39.69,23.24,Celsius,Mobile App
SP-7139,165,2022-10-20 21:34:20,24.55,47.24,Celsius,Weather Station
SP-9636,166,2022-03-21 13:13:31,27.73,59.69,Celsius,Mobile App
