ShipmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-4209,1,2022-11-15T12:40:00Z,33.38,40.43,Fahrenheit,Weather Station
SP-3431,2,2022-07-13T19:48:36Z,-37.91,15.73,Celsius,Mobile App
SP-1450,3,2022-06-15T16:43:26Z,-0.6,59.72,Fahrenheit,Mobile App
SP-5012,4,2022-11-09T22:29:57Z,-37.56,59.19,Celsius,Weather Station
SP-3204,5,2022-11-04T10:32:33Z,-24.08,50.83,Celsius,Mobile App
SP-6287,6,2022-04-12T21:06:52Z,-12.32,44.4,Fahrenheit,Mobile App
SP-9369,7,2022-02-01T20:09:39Z,1.43,19.32,Celsius,Mobile App
SP-7042,8,2022-06-03T22:18:14Z,33.22,43.01,Fahrenheit,Weather Station
SP-2748,9,2022-02-05T19:45:39Z,-22.19,38.07,Fahrenheit,Weather Station
SP-9842,10,2022-06-04T10:17:34Z,36.34,18.59,Celsius,Weather Station
SP-5122,11,2022-02-20T22:16:26Z,1.64,55.0,Celsius,Weather Station
SP-3096,12,2022-08-02T06:38:19Z,33.0,77.12,Celsius,Weather Station
SP-3928,13,2022-05-26T01:35:46Z,35.98,20.09,Celsius,IoT Device
SP-6479,14,2022-03-06T03:06:04Z,-28.73,37.25,Fahrenheit,Weather Station
SP-6213,15,2022-12-06T09:52:03Z,37.3,30.93,Celsius,Weather Station
SP-1924,16,2022-08-07T21:37:42Z,-3.58,33.3,Celsius,Mobile App
SP-3692,17,2022-01-04T08:53:21Z,18.15,62.21,Celsius,Weather Station
SP-7166,18,2022-05-12T10:52:40Z,-5.24,98.37,Fahrenheit,Mobile App
SP-3856,19,2022-02-06T02:56:13Z,-25.22,27.96,Celsius,Mobile App
SP-0233,20,2022-01-05T06:13:36Z,-39.54,15.0,Celsius,IoT Device
SP-7996,21,2022-05-14T13:19:07Z,-18.92,53.42,Celsius,IoT Device
SP-4648,22,2022-02-23T09:16:12Z,-10.45,46.47,Celsius,Weather Station
SP-9714,23,2022-10-20T19:04:13Z,-32.17,80.9,Celsius,Mobile App
SP-5472,24,2022-09-09T18:24:10Z,-22.17,30.45,Celsius,Weather Station
SP-6177,25,2022-03-12T23:03:09Z,2.1,10.42,Fahrenheit,IoT Device
SP-5051,26,2022-02-26T22:50:50Z,24.25,91.1,Celsius,IoT Device
SP-1553,27,2022-02-16T10:57:46Z,-8.89,21.67,Fahrenheit,IoT Device
SP-3543,28,2022-11-20T05:04:59Z,13.18,90.38,Fahrenheit,IoT Device
SP-0932,29,2022-07-29T05:51:29Z,35.75,76.5,Celsius,Mobile App
SP-4546,30,2022-11-26T19:42:48Z,-46.94,12.76,Fahrenheit,Weather Station
SP-8859,31,2022-08-04T23:09:03Z,-8.77,74.07,Celsius,Weather Station
SP-9738,32,2022-05-07T16:17:20Z,-9.46,74.47,Celsius,IoT Device
SP-0012,33,2022-11-02T14:19:24Z,19.95,14.38,Celsius,Mobile App
SP-2245,34,2022-04-15T13:18:34Z,-12.25,15.78,Fahrenheit,IoT Device
SP-3773,35,2022-09-21T00:12:48Z,34.69,85.62,Fahrenheit,IoT Device
SP-9572,36,2022-04-19T01:40:37Z,19.93,40.04,Fahrenheit,Weather Station
SP-8432,37,2022-12-06T18:23:21Z,30.03,10.44,Celsius,IoT Device
SP-4628,38,2022-03-15T14:00:57Z,-34.44,12.87,Fahrenheit,Weather Station
SP-4692,39,2022-04-09T14:02:29Z,-25.21,22.38,Celsius,IoT Device
SP-2320,40,2022-02-24T12:19:38Z,-43.01,42.95,Fahrenheit,IoT Device
SP-0015,41,2022-04-29T08:00:50Z,4.42,11.53,Celsius,IoT Device
SP-3531,42,2022-11-14T15:58:17Z,-48.4,95.46,Celsius,IoT Device
SP-6843,43,2022-06-22T05:38:00Z,-14.81,92.16,Fahrenheit,Weather Station
SP-0135,44,2022-11-14T01:49:54Z,-29.11,87.93,Celsius,IoT Device
SP-1522,45,2022-03-12T20:45:44Z,40.04,10.2,Fahrenheit,Weather Station
SP-4579,46,2022-11-06T19:03:06Z,-30.21,72.14,Fahrenheit,Mobile App
SP-6603,47,2022-01-13T16:58:48Z,10.41,3.68,Celsius,IoT Device
