ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription
SP-6966,Atlanta WH,New Orleans WH,2023-09-28 17:00:08,2023-10-02 06:36:28,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Cloned leading edge matrix
SP-9606,Miami WH,Miami WH,2023-09-05 13:30:49,2023-10-22 20:10:53,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Organic 5th generation complexity
SP-8843,Atlanta WH,Durham WH,2023-09-28 16:23:51,2023-10-25 05:46:09,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Diverse leading edge synergy
SP-1076,Miami WH,Durham WH,2023-09-01 01:47:04,2023-10-24 17:26:27,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Monitored bifurcated archive
SP-3470,Chicago WH,New Orleans WH,2023-09-21 11:19:23,2023-10-16 13:08:00,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Automated human-resource collaboration
SP-3360,Durham WH,Durham WH,2023-09-10 23:16:56,2023-10-21 00:38:53,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Customizable context-sensitive hub
SP-6077,Chicago WH,Atlanta WH,2023-09-03 21:19:13,2023-10-17 04:08:44,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Quality-focused optimal solution
SP-9703,Nashville WH,Miami WH,2023-09-25 16:57:39,2023-10-10 08:56:55,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Self-enabling foreground software
SP-4624,Atlanta WH,Miami WH,2023-09-10 07:51:03,2023-10-08 05:07:58,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Enterprise-wide global knowledge user
SP-3345,Durham WH,Chicago WH,2023-09-18 00:55:09,2023-10-17 02:44:24,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Mandatory incremental methodology
SP-0882,Chicago WH,Atlanta WH,2023-09-06 23:21:29,2023-10-02 00:11:39,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Open-source reciprocal attitude
SP-1385,Detroit WH,Detroit WH,2023-09-28 07:53:57,2023-10-03 10:27:59,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Multi-layered leading edge matrix
SP-0084,New Orleans WH,Durham WH,2023-09-15 11:00:51,2023-10-08 02:06:48,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Centralized executive artificial intelligence
SP-1479,Atlanta WH,New Orleans WH,2023-09-14 00:39:00,2023-10-23 12:21:12,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Operative uniform structure
SP-0430,New Orleans WH,Nashville WH,2023-09-07 16:31:09,2023-10-17 09:17:25,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Organic composite archive
SP-9797,Miami WH,New Orleans WH,2023-09-05 20:13:34,2023-10-27 06:34:02,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Assimilated next generation capability
SP-2608,Atlanta WH,Nashville WH,2023-09-05 23:54:08,2023-10-30 11:16:26,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Managed neutral functionalities
SP-3069,Durham WH,Miami WH,2023-09-07 00:32:43,2023-10-16 11:43:07,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Fully-configurable attitude-oriented intranet
