ShipmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-5816,1,2022-09-24 16:55:00,-19.82,36.01,Fahrenheit,Weather Station
SP-3229,2,2022-01-14 07:35:46,-42.31,82.62,Celsius,Weather Station
SP-2573,3,2022-07-14 00:41:38,28.98,45.24,Fahrenheit,Weather Station
SP-8023,4,2022-04-30 17:12:37,-10.74,77.29,Fahrenheit,IoT Device
SP-7641,5,2022-09-13 22:08:30,43.71,16.5,Celsius,Weather Station
SP-0940,6,2022-07-27 11:27:11,23.17,35.38,Celsius,IoT Device
SP-0273,7,2022-07-24 16:16:22,3.93,46.24,Fahrenheit,Mobile App
SP-7374,8,2022-11-15 00:46:06,-11.09,24.92,Fahrenheit,Mobile App
SP-8654,9,2022-11-23 20:46:45,-9.29,23.06,Celsius,IoT Device
SP-4127,10,2022-10-13 22:09:42,-26.11,20.26,Celsius,Weather Station
SP-3599,11,2022-09-14 22:03:58,1.39,19.99,Celsius,Weather Station
SP-5662,12,2022-02-26 19:23:01,-33.96,87.88,Fahrenheit,IoT Device
SP-3491,13,2022-05-18 21:36:12,-11.04,21.02,Fahrenheit,Mobile App
SP-8512,14,2022-10-27 11:26:05,-7.99,2.45,Fahrenheit,IoT Device
SP-9110,15,2022-12-04 00:54:27,1.25,42.46,Celsius,Mobile App
SP-6896,16,2022-01-10 21:06:50,42.24,50.73,Celsius,Mobile App
SP-7037,17,2022-11-13 20:28:55,15.67,79.41,Celsius,IoT Device
SP-2943,18,2022-08-23 14:25:07,-11.28,95.98,Fahrenheit,IoT Device
SP-1164,19,2022-01-16 23:28:00,-14.88,24.47,Celsius,Mobile App
SP-1551,20,2022-01-13 17:17:12,-41.12,10.59,Fahrenheit,IoT Device
SP-1473,21,2022-05-12 05:35:33,18.32,58.23,Celsius,IoT Device
SP-0849,22,2022-02-11 18:52:26,29.26,86.66,Fahrenheit,IoT Device
SP-1979,23,2022-12-13 16:13:37,-27.65,80.54,Celsius,IoT Device
SP-3092,24,2022-03-30 08:21:54,-29.64,92.52,Celsius,Weather Station
SP-9071,25,2022-01-26 16:38:07,-3.15,31.34,Fahrenheit,Weather Station
SP-0352,26,2022-08-17 06:37:57,29.45,74.11,Fahrenheit,IoT Device
SP-1765,27,2022-08-17 16:42:36,-22.09,42.63,Fahrenheit,Mobile App
SP-0180,28,2022-07-26 10:01:48,26.72,27.35,Fahrenheit,Mobile App
SP-7503,29,2022-01-12 10:51:16,29.34,23.11,Fahrenheit,Mobile App
SP-1919,30,2022-11-22 03:04:46,-43.81,10.15,Celsius,Mobile App
SP-8998,31,2022-08-15 00:45:56,17.77,9.64,Celsius,Weather Station
SP-1275,32,2022-09-09 12:58:03,10.05,81.34,Fahrenheit,Weather Station
SP-9867,33,2022-06-29 22:12:10,-5.78,40.22,Celsius,Mobile App
SP-1329,34,2022-05-23 23:04:35,-46.67,34.53,Celsius,Weather Station
SP-2879,35,2022-06-25 13:36:39,-46.47,30.76,Fahrenheit,IoT Device
SP-7455,36,2022-02-18 09:02:59,37.76,52.27,Celsius,Weather Station
SP-9685,37,2022-04-19 12:43:59,49.79,72.47,Celsius,Mobile App
SP-3523,38,2022-11-24 14:28:00,-25.49,58.23,Celsius,Weather Station
SP-5190,39,2022-12-22 06:05:31,36.37,12.79,Celsius,IoT Device
SP-6433,40,2022-08-16 04:57:59,-44.66,75.36,Fahrenheit,Weather Station
SP-0491,41,2022-07-17 06:15:46,-20.89,70.62,Fahrenheit,Weather Station
SP-0566,42,2022-07-20 12:55:29,25.06,6.93,Celsius,Weather Station
SP-4781,43,2022-04-09 01:55:38,13.13,37.83,Fahrenheit,IoT Device
SP-8783,44,2022-11-27 06:23:54,-39.99,31.23,Celsius,IoT Device
SP-1499,45,2022-11-04 13:53:01,-27.53,50.76,Celsius,IoT Device
SP-3557,46,2022-10-13 22:20:06,24.23,53.31,Celsius,Weather Station
SP-4415,47,2022-10-15 00:53:55,-5.58,59.25,Fahrenheit,Mobile App
SP-8660,48,2022-03-20 18:11:22,-3.46,25.55,Celsius,IoT Device
SP-5040,49,2022-03-12 15:45:41,-27.18,19.1,Celsius,Mobile App
SP-7312,50,2022-05-02 05:43:30,-49.37,70.09,Celsius,IoT Device
SP-8929,51,2022-12-14 00:21:34,40.62,99.72,Fahrenheit,Mobile App
SP-0595,52,2022-11-23 11:34:52,8.94,89.72,Celsius,IoT Device
SP-8293,53,2022-10-08 11:20:44,-2.29,31.73,Celsius,IoT Device
SP-6758,54,2022-05-01 04:33:09,22.13,22.9,Celsius,Mobile App
SP-5770,55,2022-07-08 23:50:22,11.45,14.09,Fahrenheit,IoT Device
SP-1992,56,2022-10-15 13:09:32,32.65,67.92,Celsius,Mobile App
SP-5786,57,2022-06-02 16:01:03,29.17,43.79,Fahrenheit,Mobile App
SP-9832,58,2022-11-04 20:09:10,-4.94,83.35,Celsius,Mobile App
SP-0757,59,2022-09-08 13:50:10,-9.29,11.97,Fahrenheit,IoT Device
SP-0306,60,2022-03-31 15:35:27,-27.99,29.98,Fahrenheit,Weather Station
SP-6172,61,2022-12-04 02:10:42,29.42,25.72,Fahrenheit,Weather Station
SP-9147,62,2022-01-19 22:58:59,35.94,48.04,Celsius,IoT Device
SP-3226,63,2022-02-06 09:34:46,-23.22,63.95,Fahrenheit,Weather Station
SP-1296,64,2022-03-05 19:08:03,40.23,85.75,Fahrenheit,Mobile App
SP-0135,65,2022-10-19 05:14:05,4.36,6.42,Fahrenheit,Weather Station
SP-4523,66,2022-06-26 13:43:18,10.24,66.09,Celsius,Weather Station
SP-8872,67,2022-08-11 18:00:26,-18.74,46.66,Celsius,Mobile App
SP-1570,68,2022-07-02 02:33:09,-24.1,32.02,Celsius,IoT Device
SP-9690,69,2022-07-02 01:40:40,20.53,85.4,Celsius,Mobile App
SP-6741,70,2022-02-27 11:19:59,3.44,36.25,Celsius,Mobile App
SP-0836,71,2022-11-28 01:18:46,13.22,1.44,Celsius,IoT Device
SP-3503,72,2022-10-25 19:36:32,39.35,89.08,Fahrenheit,Mobile App
SP-0864,73,2022-02-11 13:01:58,-9.78,86.11,Fahrenheit,Weather Station
