ShipmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-9696,1,2022-09-20 10:50:39,11.57,79.5,Celsius,IoT Device
SP-0825,2,2022-01-09 19:41:07,48.77,23.71,Fahrenheit,Mobile App
SP-5215,3,2022-02-16 11:24:09,16.48,13.6,Fahrenheit,IoT Device
SP-0205,4,2022-05-25 15:26:50,42.05,85.46,Fahrenheit,Mobile App
SP-5774,5,2022-09-05 03:06:32,8.29,51.66,Celsius,Weather Station
SP-9606,6,2022-02-21 04:36:29,44.94,70.03,Celsius,IoT Device
SP-4939,7,2022-09-28 08:13:59,-10.1,61.54,Celsius,IoT Device
SP-2614,8,2022-06-09 19:08:43,20.46,14.43,Fahrenheit,IoT Device
SP-4987,9,2022-11-30 02:27:11,38.6,37.3,Celsius,Weather Station
SP-0588,10,2022-11-14 10:40:52,-24.19,19.11,Fahrenheit,Weather Station
SP-2779,11,2022-01-14 01:41:27,-1.88,19.29,Fahrenheit,IoT Device
SP-9965,12,2022-10-22 17:21:12,-31.16,3.44,Celsius,Weather Station
SP-1102,13,2022-10-07 09:41:25,-2.96,18.45,Fahrenheit,Mobile App
SP-0560,14,2022-06-25 07:02:35,-2.72,82.33,Fahrenheit,IoT Device
SP-4327,15,2022-05-14 18:24:58,-13.73,0.35,Celsius,Mobile App
SP-5846,16,2022-03-19 15:34:08,0.4,78.55,Celsius,IoT Device
SP-4695,17,2022-02-04 20:51:56,-16.06,14.94,Fahrenheit,Weather Station
SP-1278,18,2022-10-16 17:18:44,25.73,73.14,Celsius,Mobile App
SP-6116,19,2022-01-30 00:56:28,10.86,51.31,Celsius,IoT Device
SP-3279,20,2022-11-10 10:21:49,3.95,11.36,Fahrenheit,Weather Station
SP-5530,21,2022-03-05 17:35:15,-36.99,86.65,Celsius,IoT Device
SP-3126,22,2022-01-10 03:43:42,4.86,3.67,Fahrenheit,Weather Station
SP-1182,23,2022-10-15 22:58:57,46.73,32.58,Fahrenheit,Weather Station
SP-4104,24,2022-08-02 04:23:49,-24.83,36.1,Fahrenheit,Mobile App
SP-6355,25,2022-03-14 18:05:04,40.08,51.05,Celsius,Mobile App
SP-2880,26,2022-07-23 18:44:10,18.93,24.96,Celsius,Mobile App
SP-1596,27,2022-03-11 15:21:54,11.58,84.92,Fahrenheit,IoT Device
SP-7467,28,2022-10-26 16:24:45,-0.11,79.89,Celsius,IoT Device
SP-3671,29,2022-09-20 09:27:50,1.15,92.04,Celsius,Mobile App
SP-5717,30,2022-08-08 00:33:24,-48.09,7.17,Fahrenheit,IoT Device
SP-9691,31,2022-03-14 12:09:34,9.17,33.28,Celsius,IoT Device
SP-5356,32,2022-04-19 21:22:18,-6.07,94.81,Celsius,Weather Station
