ShiptmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-9498,1,2022-11-25 23:59:09,-46.14,78.48,Celsius,Mobile App
SP-4995,2,2022-08-03 04:09:01,35.55,88.63,Fahrenheit,Weather Station
SP-4068,3,2022-08-15 10:33:18,21.48,25.89,Fahrenheit,Mobile App
SP-2835,4,2022-01-25 13:10:27,44.44,56.89,Fahrenheit,Weather Station
SP-9511,5,2022-09-05 02:30:42,-49.71,75.12,Celsius,Weather Station
SP-6816,6,2022-08-29 14:47:32,-13.43,52.08,Celsius,Mobile App
SP-3923,7,2022-09-10 17:40:17,-12.85,53.7,Celsius,Weather Station
SP-3009,8,2022-02-17 20:27:52,34.58,59.19,Fahrenheit,Weather Station
SP-6935,9,2022-02-12 00:39:55,-17.94,11.45,Celsius,Mobile App
SP-2766,10,2022-08-08 20:55:44,44.53,96.87,Celsius,IoT Device
SP-8241,11,2022-11-21 21:45:16,-4.07,79.69,Fahrenheit,IoT Device
SP-3008,12,2022-01-14 02:29:36,28.08,7.21,Celsius,Weather Station
SP-0190,13,2022-09-09 17:11:03,38.53,24.08,Fahrenheit,Weather Station
SP-2973,14,2022-06-13 08:57:06,4.95,63.82,Fahrenheit,Mobile App
SP-7617,15,2022-10-30 06:38:09,29.91,16.2,Celsius,Mobile App
SP-2447,16,2022-01-21 10:11:47,43.64,67.58,Fahrenheit,Weather Station
SP-6556,17,2022-04-21 14:00:37,17.09,12.47,Fahrenheit,Weather Station
SP-8037,18,2022-05-05 02:52:21,-27.31,88.81,Celsius,Weather Station
SP-8538,19,2022-06-25 12:55:53,44.33,54.18,Celsius,Mobile App
SP-8306,20,2022-01-19 11:22:46,-17.98,93.09,Fahrenheit,IoT Device
SP-1589,21,2022-10-14 17:50:09,-44.26,61.19,Fahrenheit,Mobile App
SP-3310,22,2022-12-01 12:50:08,4.26,94.85,Fahrenheit,Mobile App
SP-7230,23,2022-06-05 19:18:03,-37.66,90.22,Celsius,IoT Device
SP-3279,24,2022-09-10 17:39:40,-48.98,93.41,Celsius,Mobile App
SP-2303,25,2022-06-27 16:35:01,-30.69,38.06,Celsius,Mobile App
SP-0505,26,2022-11-19 09:31:41,-18.07,73.33,Celsius,Mobile App
SP-8480,27,2022-01-11 13:13:39,17.9,84.33,Celsius,IoT Device
SP-9771,28,2022-03-11 04:28:52,4.9,25.09,Fahrenheit,IoT Device
SP-2756,29,2022-09-10 06:04:41,14.15,7.26,Fahrenheit,Mobile App
SP-4850,30,2022-01-10 23:52:55,44.03,28.1,Celsius,Mobile App
SP-0948,31,2022-12-10 17:51:10,-24.33,72.78,Celsius,Weather Station
SP-2532,32,2022-08-01 20:34:59,-29.53,48.5,Fahrenheit,Mobile App
SP-5623,33,2022-12-15 16:32:03,-25.36,47.39,Celsius,Mobile App
SP-2375,34,2022-10-16 19:49:45,-13.04,41.44,Fahrenheit,Mobile App
SP-8832,35,2022-03-03 14:22:43,44.49,41.75,Fahrenheit,IoT Device
SP-8835,36,2022-04-20 04:59:12,15.58,88.77,Fahrenheit,Mobile App
SP-6454,37,2022-01-10 07:45:17,-17.64,65.8,Celsius,IoT Device
SP-5304,38,2022-12-28 09:27:20,-42.47,95.84,Fahrenheit,Mobile App
SP-7416,39,2022-04-10 15:04:38,9.62,77.58,Celsius,Mobile App
SP-4450,40,2022-05-02 20:01:00,-20.21,89.78,Fahrenheit,Weather Station
SP-1960,41,2022-08-05 05:27:53,15.82,94.93,Fahrenheit,Mobile App
SP-0703,42,2022-01-11 09:36:26,-31.45,86.02,Celsius,IoT Device
SP-9897,43,2022-01-19 19:05:54,-17.2,59.81,Celsius,IoT Device
SP-6932,44,2022-07-14 07:04:01,38.62,26.12,Celsius,Mobile App
SP-8641,45,2022-02-27 14:17:26,-13.26,46.82,Celsius,Weather Station
SP-1536,46,2022-06-03 21:40:07,8.7,12.94,Fahrenheit,Weather Station
SP-4391,47,2022-08-05 01:48:11,42.62,84.82,Celsius,Mobile App
SP-0225,48,2022-05-08 02:05:10,-13.1,48.41,Fahrenheit,IoT Device
SP-0497,49,2022-11-25 19:51:03,3.83,70.32,Fahrenheit,Weather Station
SP-6231,50,2022-03-08 14:12:04,43.35,3.19,Celsius,IoT Device
SP-2039,51,2022-08-28 08:15:20,28.9,55.76,Celsius,IoT Device
SP-4561,52,2022-08-03 05:21:23,-41.01,10.56,Celsius,Weather Station
SP-6460,53,2022-02-21 18:10:03,-45.04,13.44,Fahrenheit,Weather Station
SP-3188,54,2022-08-26 06:52:14,5.9,20.94,Fahrenheit,Weather Station
SP-4873,55,2022-01-26 15:51:13,-40.0,36.67,Celsius,IoT Device
SP-6442,56,2022-08-07 03:51:13,15.93,4.77,Celsius,Weather Station
SP-0547,57,2022-11-27 04:22:34,-8.89,38.57,Fahrenheit,Mobile App
SP-9078,58,2022-03-15 23:06:23,16.89,94.53,Celsius,Mobile App
SP-8838,59,2022-10-08 23:25:13,-36.31,12.82,Fahrenheit,IoT Device
SP-9023,60,2022-07-29 10:29:09,35.85,33.66,Celsius,Weather Station
SP-9980,61,2022-06-29 14:47:47,38.74,57.78,Celsius,Weather Station
SP-8072,62,2022-01-14 13:53:05,-3.84,4.64,Celsius,Mobile App
SP-8331,63,2022-01-02 21:08:00,-9.38,29.5,Celsius,Weather Station
SP-6682,64,2022-09-19 07:12:21,34.09,39.03,Fahrenheit,Weather Station
SP-3969,65,2022-11-29 12:58:47,-41.53,65.66,Fahrenheit,IoT Device
SP-5917,66,2022-08-17 07:16:46,43.14,93.28,Fahrenheit,IoT Device
SP-6221,67,2022-07-08 04:28:25,47.43,81.75,Celsius,IoT Device
SP-2629,68,2022-05-07 20:42:34,8.72,86.03,Celsius,Weather Station
SP-7121,69,2022-07-18 19:51:40,-8.33,37.96,Celsius,IoT Device
SP-7230,70,2022-03-19 23:17:09,34.1,9.25,Fahrenheit,IoT Device
SP-4739,71,2022-07-03 18:19:40,22.8,27.37,Celsius,Mobile App
SP-4451,72,2022-05-25 11:09:36,11.68,79.33,Celsius,IoT Device
SP-2125,73,2022-10-18 05:47:08,6.02,71.03,Celsius,Mobile App
SP-8885,74,2022-06-07 09:23:07,3.99,26.0,Celsius,IoT Device
SP-1837,75,2022-03-02 11:11:54,-42.44,57.35,Celsius,IoT Device
SP-8506,76,2022-01-26 11:16:21,-28.71,43.42,Celsius,Mobile App
SP-4031,77,2022-03-19 12:58:17,-12.11,19.22,Fahrenheit,IoT Device
SP-9423,78,2022-03-23 22:52:04,-13.39,85.52,Fahrenheit,IoT Device
SP-9952,79,2022-01-12 09:01:30,44.63,46.97,Celsius,Mobile App
SP-6400,80,2022-02-16 06:13:51,-9.54,56.88,Celsius,IoT Device
SP-5044,81,2022-04-27 23:58:44,17.9,21.91,Fahrenheit,Mobile App
SP-0245,82,2022-01-01 18:21:12,27.64,4.35,Celsius,IoT Device
SP-8541,83,2022-03-24 14:25:37,-35.15,52.6,Fahrenheit,Mobile App
SP-8653,84,2022-05-12 20:46:25,-15.38,38.18,Celsius,IoT Device
SP-4204,85,2022-02-18 18:08:04,23.13,56.59,Celsius,Mobile App
SP-2502,86,2022-06-28 01:14:19,-23.86,50.14,Celsius,Mobile App
SP-5250,87,2022-05-28 15:27:43,-17.28,69.77,Celsius,Weather Station
SP-1015,88,2022-07-10 00:34:18,-47.37,51.2,Fahrenheit,Mobile App
SP-4546,89,2022-12-20 10:24:21,20.21,2.21,Celsius,Weather Station
SP-3759,90,2022-04-22 21:37:02,-33.93,14.52,Celsius,Mobile App
SP-9064,91,2022-03-03 17:47:18,24.63,64.38,Fahrenheit,Mobile App
SP-8558,92,2022-04-20 05:28:11,-32.76,45.41,Fahrenheit,Mobile App
SP-9964,93,2022-06-24 16:35:15,28.18,44.93,Celsius,IoT Device
SP-8022,94,2022-09-13 15:25:56,20.28,58.67,Celsius,IoT Device
SP-9068,95,2022-05-23 04:21:32,-19.56,98.56,Celsius,Mobile App
SP-3234,96,2022-11-30 04:03:55,-15.9,29.45,Fahrenheit,IoT Device
SP-3373,97,2022-12-18 02:08:20,27.29,79.59,Fahrenheit,Mobile App
SP-7397,98,2022-06-22 23:43:48,44.23,40.57,Fahrenheit,Weather Station
SP-8450,99,2022-01-17 07:33:04,-23.55,15.94,Celsius,IoT Device
SP-2497,100,2022-03-11 03:14:51,6.06,43.02,Celsius,Mobile App
SP-2044,101,2022-03-27 10:08:10,24.41,89.92,Celsius,Mobile App
SP-7397,102,2022-08-29 19:42:18,-19.67,86.08,Celsius,Weather Station
SP-8572,103,2022-02-25 09:06:56,19.37,50.33,Celsius,Weather Station
SP-3951,104,2022-01-08 15:52:47,-42.2,28.03,Celsius,IoT Device
SP-0907,105,2022-03-03 06:09:36,2.54,17.26,Celsius,IoT Device
SP-9961,106,2022-12-14 23:23:58,-28.43,66.8,Fahrenheit,Mobile App
SP-8191,107,2022-04-02 14:59:11,2.38,40.78,Celsius,Mobile App
SP-3903,108,2022-02-27 17:35:11,-48.05,24.48,Celsius,Weather Station
SP-7340,109,2022-08-24 21:11:20,-19.25,48.54,Fahrenheit,Mobile App
SP-3159,110,2022-12-08 13:45:50,-42.69,55.7,Celsius,Weather Station
SP-5300,111,2022-11-09 02:12:38,24.28,46.94,Fahrenheit,IoT Device
SP-7682,112,2022-06-30 04:22:27,4.16,2.97,Fahrenheit,IoT Device
SP-6498,113,2022-10-12 23:39:13,-8.96,32.41,Fahrenheit,IoT Device
SP-2329,114,2022-04-28 17:02:39,0.85,10.42,Fahrenheit,Mobile App
SP-8611,115,2022-02-25 13:46:38,-27.3,43.73,Celsius,IoT Device
SP-8019,116,2022-08-14 19:20:39,23.77,85.28,Celsius,Weather Station
SP-9494,117,2022-03-13 08:29:25,25.59,92.62,Celsius,Weather Station
SP-4867,118,2022-06-24 15:59:02,-11.76,61.72,Fahrenheit,Weather Station
SP-2698,119,2022-11-28 10:05:12,30.96,18.36,Celsius,Mobile App
SP-9267,120,2022-07-13 11:12:37,-49.94,16.99,Fahrenheit,Mobile App
SP-3285,121,2022-09-10 17:06:33,-22.76,44.77,Fahrenheit,Mobile App
SP-1450,122,2022-05-23 10:01:10,36.47,62.82,Celsius,Weather Station
SP-1789,123,2022-11-21 22:01:00,-18.47,10.7,Fahrenheit,IoT Device
SP-9431,124,2022-12-21 17:59:22,-21.42,7.22,Fahrenheit,Weather Station
SP-0592,125,2022-05-25 18:31:04,40.92,65.08,Fahrenheit,Mobile App
SP-5851,126,2022-02-02 04:31:34,-26.38,67.93,Fahrenheit,Mobile App
SP-9222,127,2022-04-21 10:23:32,36.48,26.97,Fahrenheit,IoT Device
SP-0930,128,2022-11-02 19:01:00,-14.55,82.96,Fahrenheit,Mobile App
SP-5814,129,2022-09-26 08:58:29,7.35,2.05,Celsius,Weather Station
SP-5706,130,2022-07-27 17:42:31,29.85,4.7,Celsius,IoT Device
SP-4200,131,2022-09-29 22:47:27,-10.46,48.23,Fahrenheit,Mobile App
SP-4435,132,2022-10-25 21:29:08,12.68,81.75,Celsius,IoT Device
SP-8174,133,2022-05-03 11:25:11,32.26,6.28,Fahrenheit,Weather Station
SP-7513,134,2022-02-28 13:45:39,43.48,74.85,Celsius,Mobile App
SP-3076,135,2022-01-09 22:17:56,-23.58,81.86,Fahrenheit,IoT Device
SP-6355,136,2022-07-01 13:06:53,-49.06,5.91,Fahrenheit,Weather Station
SP-1949,137,2022-07-26 20:21:00,-1.05,83.78,Celsius,Mobile App
SP-7586,138,2022-06-07 15:33:29,-19.51,62.73,Fahrenheit,Mobile App
SP-1658,139,2022-06-17 09:42:27,-37.42,15.55,Celsius,Weather Station
SP-7323,140,2022-05-22 07:44:40,2.93,16.06,Fahrenheit,IoT Device
SP-8424,141,2022-05-29 14:20:37,23.59,15.17,Fahrenheit,IoT Device
SP-2970,142,2022-04-16 05:18:35,-47.51,27.07,Celsius,Mobile App
SP-0717,143,2022-04-23 06:25:32,1.01,98.91,Celsius,Mobile App
SP-2532,144,2022-08-27 19:16:03,46.37,87.88,Celsius,Weather Station
SP-4918,145,2022-09-11 20:58:16,44.99,17.96,Fahrenheit,IoT Device
SP-9287,146,2022-11-05 11:52:21,-25.0,63.23,Fahrenheit,Mobile App
SP-7732,147,2022-12-15 09:07:59,26.32,7.97,Fahrenheit,Mobile App
SP-0148,148,2022-09-21 02:37:56,-25.44,86.81,Celsius,IoT Device
SP-1176,149,2022-10-14 10:59:49,40.72,41.87,Celsius,IoT Device
SP-2577,150,2022-12-26 05:08:37,36.86,87.47,Celsius,Mobile App
SP-2980,151,2022-11-21 02:11:06,15.0,3.63,Celsius,IoT Device
SP-1775,152,2022-07-02 14:51:52,-49.61,26.79,Celsius,Weather Station
SP-1113,153,2022-07-03 01:56:14,31.74,39.0,Fahrenheit,Mobile App
SP-6665,154,2022-05-25 23:55:16,-42.15,28.01,Fahrenheit,IoT Device
SP-8453,155,2022-08-09 17:10:32,-2.96,28.82,Fahrenheit,Weather Station
SP-3723,156,2022-08-05 21:16:07,-34.12,35.08,Fahrenheit,IoT Device
SP-6122,157,2022-04-06 22:16:52,32.81,9.51,Celsius,IoT Device
SP-5150,158,2022-02-13 14:14:16,0.69,57.83,Fahrenheit,Mobile App
SP-2304,159,2022-04-14 19:59:36,22.82,21.16,Celsius,Mobile App
SP-3046,160,2022-05-08 07:28:37,49.55,43.31,Fahrenheit,Mobile App
SP-7658,161,2022-03-06 05:57:20,-27.85,43.32,Celsius,Mobile App
SP-7089,162,2022-05-06 15:11:42,-8.88,55.44,Celsius,IoT Device
SP-3826,163,2022-06-20 14:46:27,31.8,55.97,Celsius,Weather Station
SP-2224,164,2022-05-03 03:49:16,20.74,23.48,Celsius,Weather Station
SP-5854,165,2022-04-17 03:23:35,-7.25,73.41,Fahrenheit,Weather Station
SP-3424,166,2022-05-02 21:56:53,-49.33,96.26,Celsius,IoT Device
SP-1503,167,2022-09-23 17:39:00,-32.9,20.75,Celsius,Mobile App
SP-6711,168,2022-05-15 22:33:24,49.38,23.34,Fahrenheit,Weather Station
SP-7774,169,2022-07-24 03:08:07,-22.38,42.1,Celsius,Mobile App
SP-7252,170,2022-02-21 16:58:53,-8.38,89.7,Fahrenheit,IoT Device
SP-3867,171,2022-03-20 08:43:18,1.05,76.63,Fahrenheit,IoT Device
SP-8083,172,2022-11-04 06:31:22,32.86,72.83,Fahrenheit,Mobile App
SP-0571,173,2022-11-19 04:15:33,45.97,48.11,Celsius,Mobile App
SP-6477,174,2022-01-16 07:55:45,18.07,2.14,Celsius,IoT Device
SP-6172,175,2022-05-15 04:04:38,0.01,53.02,Fahrenheit,Mobile App
SP-5097,176,2022-10-01 20:12:55,47.66,42.18,Celsius,Weather Station
SP-0492,177,2022-09-29 09:53:59,37.33,38.33,Celsius,Mobile App
SP-9258,178,2022-04-03 02:48:36,41.31,2.37,Celsius,Mobile App
SP-5035,179,2022-01-10 02:13:17,-40.9,93.06,Celsius,Mobile App
SP-6432,180,2022-02-12 16:19:33,13.03,46.0,Celsius,Weather Station
SP-2126,181,2022-07-22 01:23:52,46.06,94.44,Fahrenheit,IoT Device
SP-9289,182,2022-05-10 00:46:56,-16.21,43.9,Fahrenheit,Mobile App
SP-1565,183,2022-05-14 01:12:20,-11.72,87.83,Celsius,Mobile App
SP-2874,184,2022-04-14 02:22:34,25.48,13.71,Celsius,Mobile App
SP-5704,185,2022-04-09 16:22:51,39.22,33.92,Celsius,IoT Device
SP-8430,186,2022-11-04 13:37:18,-7.74,97.41,Fahrenheit,Mobile App
SP-3305,187,2022-07-24 10:34:37,44.99,9.55,Fahrenheit,Weather Station
SP-6888,188,2022-04-17 06:16:58,41.33,19.15,Celsius,IoT Device
SP-2746,189,2022-12-20 16:01:52,20.2,52.24,Celsius,Mobile App
SP-8046,190,2022-04-16 20:25:35,-14.23,31.92,Fahrenheit,Mobile App
SP-1549,191,2022-04-22 20:44:45,9.89,36.57,Fahrenheit,Mobile App
SP-8059,192,2022-10-25 02:37:21,-34.58,70.39,Fahrenheit,IoT Device
SP-6197,193,2022-03-10 15:56:50,-2.37,5.19,Fahrenheit,Weather Station
SP-7768,194,2022-10-25 01:18:21,27.98,80.73,Fahrenheit,Weather Station
SP-9997,195,2022-06-05 10:50:21,16.98,12.21,Fahrenheit,Mobile App
SP-0303,196,2022-06-19 18:51:39,-11.71,88.93,Celsius,Weather Station
SP-1024,197,2022-09-14 08:08:38,11.44,73.0,Celsius,Mobile App
SP-6312,198,2022-07-29 00:25:46,-10.33,54.55,Fahrenheit,Mobile App
SP-0369,199,2022-04-16 12:44:21,44.79,57.16,Fahrenheit,Mobile App
SP-0479,200,2022-10-16 17:21:46,27.74,33.7,Fahrenheit,Weather Station
SP-2318,201,2022-11-22 12:20:13,2.94,28.71,Celsius,Weather Station
SP-8549,202,2022-04-06 18:01:49,-16.15,25.63,Celsius,IoT Device
SP-8469,203,2022-06-08 22:38:32,6.65,29.26,Celsius,Mobile App
SP-9375,204,2022-02-10 23:54:13,-46.94,84.85,Celsius,IoT Device
SP-5202,205,2022-07-05 01:00:32,48.79,73.56,Fahrenheit,Mobile App
SP-3710,206,2022-12-08 04:29:44,-39.73,54.74,Fahrenheit,IoT Device
SP-1154,207,2022-06-24 22:23:28,46.69,34.17,Fahrenheit,IoT Device
SP-3072,208,2022-02-12 01:01:25,-26.05,56.75,Fahrenheit,Weather Station
SP-6899,209,2022-07-06 02:36:46,-36.75,20.72,Celsius,Weather Station
SP-7454,210,2022-08-07 18:04:20,-11.55,4.38,Fahrenheit,Mobile App
SP-2564,211,2022-03-08 08:11:59,30.96,30.02,Fahrenheit,Mobile App
SP-6187,212,2022-09-23 09:51:09,15.02,48.16,Celsius,Weather Station
SP-7901,213,2022-10-21 20:40:58,-40.55,45.14,Celsius,IoT Device
SP-8518,214,2022-02-08 19:36:34,-0.42,25.16,Celsius,Mobile App
SP-0305,215,2022-03-07 13:56:59,1.97,60.31,Celsius,Weather Station
SP-8748,216,2022-10-06 16:37:25,-31.07,78.84,Celsius,IoT Device
SP-0179,217,2022-11-06 20:35:15,-37.92,11.39,Celsius,Mobile App
SP-6419,218,2022-02-03 10:02:23,-49.69,94.07,Celsius,Weather Station
SP-3256,219,2022-11-21 12:30:48,29.45,96.09,Fahrenheit,Weather Station
SP-8447,220,2022-01-13 01:05:58,-38.2,90.59,Celsius,Weather Station
SP-4656,221,2022-11-11 13:07:51,-29.73,74.51,Celsius,Mobile App
SP-2463,222,2022-11-12 20:04:52,25.89,89.71,Fahrenheit,IoT Device
SP-4652,223,2022-04-17 00:42:32,24.43,33.21,Celsius,Weather Station
SP-3391,224,2022-01-20 08:58:50,44.8,75.77,Celsius,Mobile App
SP-2047,225,2022-01-30 07:17:33,-18.48,4.17,Fahrenheit,Mobile App
SP-3937,226,2022-06-10 14:47:52,48.0,61.8,Fahrenheit,Mobile App
SP-5884,227,2022-11-26 08:23:25,-46.46,83.84,Celsius,Mobile App
SP-5788,228,2022-10-26 23:53:09,-12.76,87.21,Fahrenheit,IoT Device
SP-6696,229,2022-10-13 15:14:03,-14.25,41.92,Celsius,Mobile App
SP-1487,230,2022-06-26 10:04:33,11.44,21.6,Fahrenheit,Weather Station
SP-2503,231,2022-07-30 21:01:03,27.92,76.12,Fahrenheit,Mobile App
SP-5010,232,2022-02-11 03:48:48,46.89,4.9,Celsius,Mobile App
SP-8590,233,2022-06-13 02:27:29,2.21,90.61,Fahrenheit,IoT Device
SP-4201,234,2022-05-26 19:31:01,9.0,69.4,Celsius,IoT Device
SP-0397,235,2022-07-23 11:26:52,-32.48,65.33,Fahrenheit,IoT Device
SP-4872,236,2022-05-01 06:59:35,41.4,93.51,Fahrenheit,Weather Station
SP-8865,237,2022-12-14 09:36:25,-7.96,13.86,Fahrenheit,Mobile App
SP-5724,238,2022-01-05 18:15:16,-4.85,29.09,Fahrenheit,Mobile App
SP-1828,239,2022-11-06 14:11:42,-37.2,85.63,Celsius,Weather Station
SP-1974,240,2022-11-17 15:37:51,8.73,96.82,Fahrenheit,IoT Device
SP-8651,241,2022-10-29 00:12:11,0.07,75.81,Fahrenheit,Weather Station
SP-5900,242,2022-10-30 21:07:09,40.95,0.33,Fahrenheit,IoT Device
SP-6924,243,2022-03-21 15:09:35,49.16,9.25,Celsius,Mobile App
SP-2160,244,2022-05-03 07:36:09,-1.71,7.15,Celsius,IoT Device
SP-6105,245,2022-09-25 12:32:40,38.99,76.57,Celsius,IoT Device
SP-3164,246,2022-08-23 08:16:46,41.03,25.09,Fahrenheit,Weather Station
SP-0812,247,2022-02-01 01:11:00,-48.42,37.32,Celsius,Mobile App
SP-6730,248,2022-11-11 07:47:58,-39.11,7.93,Fahrenheit,Mobile App
SP-5637,249,2022-03-13 20:19:53,-20.44,17.07,Fahrenheit,Mobile App
SP-4880,250,2022-10-20 07:11:22,-17.31,20.44,Fahrenheit,Weather Station
SP-7356,251,2022-01-28 00:15:59,30.52,96.43,Celsius,Weather Station
SP-6860,252,2022-03-02 00:25:05,-46.27,35.7,Fahrenheit,IoT Device
SP-6383,253,2022-09-01 07:41:23,-34.3,85.18,Celsius,Weather Station
SP-6015,254,2022-05-31 10:27:20,-12.01,27.95,Fahrenheit,Mobile App
SP-5049,255,2022-06-25 23:05:16,3.7,18.78,Celsius,Weather Station
SP-0151,256,2022-04-30 20:44:11,40.68,52.93,Celsius,Weather Station
SP-7565,257,2022-07-12 05:07:59,1.25,31.99,Celsius,Mobile App
SP-9053,258,2022-11-22 19:55:44,8.29,0.64,Fahrenheit,IoT Device
SP-0507,259,2022-12-09 07:39:07,-14.56,4.52,Fahrenheit,Mobile App
SP-4177,260,2022-09-05 04:19:44,-13.52,27.11,Fahrenheit,IoT Device
SP-7421,261,2022-10-19 11:13:15,41.05,6.97,Fahrenheit,Weather Station
SP-5153,262,2022-07-31 11:07:42,27.57,63.55,Fahrenheit,Weather Station
SP-8766,263,2022-11-10 06:46:07,22.21,71.61,Fahrenheit,IoT Device
SP-1212,264,2022-07-20 07:36:04,18.8,45.8,Celsius,IoT Device
SP-4497,265,2022-03-03 21:36:09,41.06,74.21,Celsius,Mobile App
SP-2328,266,2022-09-30 10:42:38,23.58,87.16,Celsius,IoT Device
SP-2351,267,2022-09-27 19:05:45,16.62,35.73,Fahrenheit,Mobile App
SP-8198,268,2022-01-06 19:09:44,4.27,23.75,Fahrenheit,Mobile App
SP-8251,269,2022-11-15 12:24:25,-9.85,80.77,Celsius,Weather Station
SP-0093,270,2022-06-01 19:38:41,46.34,27.03,Fahrenheit,Mobile App
SP-1181,271,2022-09-18 21:18:51,39.21,3.03,Celsius,IoT Device
SP-9539,272,2022-05-27 04:09:59,28.36,86.91,Fahrenheit,Mobile App
SP-0678,273,2022-08-18 20:35:52,-23.46,64.44,Celsius,IoT Device
SP-5088,274,2022-09-14 15:03:51,43.71,59.78,Celsius,IoT Device
SP-8595,275,2022-05-21 07:30:48,17.47,58.95,Celsius,Mobile App
SP-5889,276,2022-02-20 17:18:58,-7.84,19.39,Fahrenheit,IoT Device
SP-2116,277,2022-09-03 01:23:43,8.62,20.51,Fahrenheit,Mobile App
SP-7100,278,2022-04-29 07:03:19,-18.32,54.97,Celsius,Mobile App
SP-9029,279,2022-12-09 22:28:15,-8.32,82.97,Fahrenheit,Mobile App
SP-9838,280,2022-07-31 16:41:20,46.37,78.04,Fahrenheit,IoT Device
SP-2973,281,2022-02-03 13:26:36,-12.86,81.59,Celsius,Mobile App
SP-4250,282,2022-02-23 23:43:14,-22.65,0.69,Fahrenheit,IoT Device
SP-8370,283,2022-02-06 21:06:36,18.07,18.81,Celsius,Mobile App
SP-0198,284,2022-02-06 07:12:51,8.02,31.93,Fahrenheit,Mobile App
SP-9452,285,2022-05-26 20:05:31,-30.8,41.6,Celsius,Mobile App
SP-2867,286,2022-04-23 03:57:51,-34.14,83.65,Celsius,IoT Device
SP-8867,287,2022-03-29 08:51:11,39.02,47.18,Fahrenheit,Weather Station
SP-1097,288,2022-08-17 09:15:06,-1.74,7.75,Celsius,IoT Device
SP-4570,289,2022-03-05 22:26:32,39.35,14.67,Celsius,Weather Station
SP-3152,290,2022-07-04 00:42:14,41.62,10.48,Celsius,Mobile App
