ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription
SP-0895,Ikalamavony,Saraktash,2022-11-06 06:00:17,2023-02-11 02:42:15,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Front-line composite paradigm
SP-0592,Navatat,Saint-Cloud,2023-07-28 04:03:57,2023-02-19 19:31:19,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Quality-focused static circuit
SP-8586,Pingba,Qijiaxi,2022-10-20 03:14:06,2023-05-09 19:14:30,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Reactive holistic projection
SP-6879,Wolfville,Bolilao,2023-01-23 12:01:29,2023-04-14 05:03:14,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Optional scalable website
SP-7020,Pidsandawan,Chuquitira,2023-03-09 10:14:57,2023-02-10 04:06:56,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Intuitive 24 hour throughput
SP-4568,Douliu,Quchanghī,2022-11-19 17:50:21,2023-06-13 03:42:50,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Managed methodical paradigm
SP-0769,Omemee,Tilamuta,2022-12-06 02:02:13,2023-03-13 19:45:07,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Future-proofed radical projection
SP-4607,Anicuns,Basa,2022-11-16 00:03:53,2023-02-01 19:36:34,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Implemented system-worthy benchmark
SP-7591,Zyuzino,Santa Rosa,2022-10-14 14:02:26,2023-06-19 14:46:01,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Configurable analyzing support
SP-6431,Mangaran,Castillos,2023-03-23 05:31:49,2022-10-17 00:27:51,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Reduced reciprocal emulation
