ShipmentID,OriginLocation,DestinationLocation,ShipmentDateTime,ExpectedArrivalDateTime,ShipmentStatus,ShipperId,ConsigneeId,ShipmentType,ContentsDescription
SP-8257,Połajewo,Bełżec,2023-06-09 17:31:21,2023-01-22 22:46:06,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Proactive zero administration intranet
SP-4516,Sukabumi,Altıağac,2023-02-03 16:39:46,2023-05-04 12:37:49,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Robust multi-state architecture
SP-7894,Skövde,Niquero,2023-03-26 20:10:29,2023-02-15 10:34:21,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Virtual client-driven projection
SP-6087,Ganshui,Angoram,2023-01-06 14:23:19,2023-02-12 12:30:22,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Cross-platform modular workforce
SP-5964,Lintingkou,Kahabe,2023-04-13 01:06:31,2023-08-12 03:18:33,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Decentralized stable framework
SP-0358,Jiahe,Kongsvinger,2022-12-14 23:51:04,2022-12-14 01:18:21,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Multi-tiered contextually-based pricing structure
SP-1604,Spodnja Hajdina,Yunchi,2023-01-16 13:35:37,2023-08-23 02:13:04,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Persistent coherent encoding
SP-7610,Kryevidh,Tegalrejo,2023-04-15 06:28:27,2023-01-03 15:14:41,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Decentralized 24 hour protocol
SP-7378,Quţūr,Zdolbuniv,2023-08-23 18:21:45,2023-03-30 14:55:26,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Expanded eco-centric interface
SP-1605,Baimajing,Neftegorsk,2023-02-26 15:17:33,2022-12-28 10:36:03,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Ameliorated eco-centric analyzer
SP-7234,Kebili,Yashiga,2023-06-30 00:02:56,2023-06-29 01:58:42,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Total discrete hardware
SP-3811,Timbaúba,Pawa,2023-06-26 01:07:26,2022-12-24 22:22:10,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Automated optimal conglomeration
SP-2958,Olavarría,Changning,2023-05-01 16:14:21,2022-12-16 18:47:42,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Extended tangible instruction set
SP-9142,Sérifos,Atouguia,2022-10-22 08:09:03,2022-10-07 10:11:54,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Total zero defect synergy
SP-8443,Carrizal,Bilyarsk,2023-02-15 13:43:04,2023-02-26 14:30:22,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Assimilated real-time challenge
SP-9542,Yuanling,Kuilehe,2023-04-28 21:26:12,2023-01-13 17:16:37,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Refrigerated,Open-source system-worthy portal
SP-5483,Daxin,Toledo,2023-08-15 18:57:19,2023-04-07 18:25:19,Delayed,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Diverse tertiary encryption
SP-8032,Kępie Żaleszańskie,Betania,2023-04-02 11:12:04,2023-04-09 21:11:21,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,User-friendly next generation intranet
SP-5422,Cool űrhajó,Uralets,2023-08-22 23:18:34,2023-03-19 05:08:18,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Stand-alone encompassing artificial intelligence
SP-5760,São Domingos de Rana,Dashahe,2023-07-16 15:47:32,2023-04-04 22:05:01,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Refrigerated,Cross-group intangible encoding
SP-1289,Kristiansand S,Panay,2023-05-23 15:05:42,2023-06-09 02:17:38,In Transit,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Standard,Organized multimedia success
SP-8999,Tianyi,Hengliang,2023-05-09 00:21:54,2023-01-22 23:01:32,Delivered,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Expedited,Cross-platform stable access
SP-8394,Koszyce Wielkie,Puttalam,2022-12-18 17:21:39,2023-09-13 21:35:35,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Digitized clear-thinking installation
SP-5051,Beaufort,Guaçuí,2022-10-14 03:31:08,2022-10-19 08:28:41,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,User-centric uniform concept
SP-0153,Kilafors,Longqiao,2023-06-02 21:58:23,2023-02-16 04:43:28,Delivered,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Hazardous,Balanced human-resource projection
SP-3693,Cluain Meala,Guaitarilla,2023-05-22 21:41:26,2023-02-02 19:27:55,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Standard,Visionary content-based website
SP-5496,Sam Phran,Troyes,2022-10-13 12:39:08,2022-11-11 17:45:30,In Transit,001Ho00001ArMMBIA3,001Ho00001ArMMFIA3,Expedited,Exclusive real-time hardware
SP-1391,Bekwai,Angers,2022-12-02 08:53:17,2022-12-24 21:27:05,Delayed,001Ho00001ArMMAIA3,001Ho00001ArMMFIA3,Hazardous,Upgradable hybrid solution
