ShipmentID,TemperatureID,DateTimeStemp,Temperature,Humidity,TemperatureUnit,Source
SP-1798,1,2022-03-22 02:59:27,24.6,85.82,Celsius,IoT Device
SP-1745,2,2022-02-04 10:48:46,-27.1,43.75,Fahrenheit,IoT Device
SP-1651,3,2022-08-03 16:43:25,24.04,97.75,Celsius,Mobile App
SP-0485,4,2022-08-01 20:26:15,7.32,55.34,Fahrenheit,IoT Device
SP-8871,5,2022-03-06 19:19:19,1.29,58.79,Fahrenheit,Weather Station
SP-9717,6,2022-07-27 15:43:57,35.93,88.31,Celsius,IoT Device
SP-5380,7,2022-06-27 01:43:39,-45.53,45.96,Fahrenheit,Weather Station
SP-4571,8,2022-05-14 04:21:13,-16.45,64.42,Fahrenheit,Mobile App
SP-2687,9,2022-02-17 05:35:21,-0.02,89.98,Celsius,Mobile App
SP-4369,10,2022-03-20 14:39:54,-21.44,84.56,Fahrenheit,Mobile App
SP-7434,11,2022-10-15 08:09:15,40.42,42.94,Celsius,IoT Device
SP-0957,12,2022-06-18 19:37:20,-41.47,14.74,Fahrenheit,IoT Device
SP-2631,13,2022-11-07 22:16:31,13.63,80.54,Celsius,IoT Device
SP-5208,14,2022-12-14 14:17:52,36.91,22.81,Fahrenheit,IoT Device
SP-3945,15,2022-05-06 07:05:51,-12.88,65.21,Fahrenheit,Mobile App
SP-0383,16,2022-05-12 08:50:31,42.07,52.2,Celsius,IoT Device
SP-9612,17,2022-02-15 04:44:13,-9.55,75.01,Fahrenheit,Weather Station
SP-0725,18,2022-04-20 19:18:03,-45.18,46.51,Fahrenheit,Weather Station
SP-0935,19,2022-07-11 22:05:31,-0.2,69.95,Celsius,Weather Station
SP-8465,20,2022-04-04 17:10:58,1.75,15.2,Celsius,Weather Station
SP-5835,21,2022-12-10 07:53:00,-32.5,52.39,Fahrenheit,Mobile App
SP-8214,22,2022-09-25 07:22:25,11.99,19.21,Celsius,Weather Station
SP-5816,23,2022-01-23 18:25:49,24.6,5.41,Celsius,Weather Station
